imdb_id,title,year,rating,votes
tt0398974,Dr. Shaitan,1960,-,-
tt0493437,Apna Sapna Money Money,2006,5.3,"1,892"
tt0049595,Parivar,1956,7.4,21
tt2930026,Humraah: The Traitor,2008,-,-
tt6597160,Jacqueline I Am Coming,2019,7.9,16
tt0154875,Midnight Mail,1939,-,-
tt0250733,Sikandar,1976,-,-
tt0376353,Zinda Jala Doonga,1988,-,-
tt0150519,Faslah,1974,-,-
tt4820566,Jawani Ki Ghabrahat,1991,-,-
tt4654666,Aakhri Muqabla,1978,-,-
tt1319563,Dracula,1999,4.1,16
tt0398130,Jahanara,1935,-,-
tt0065764,Geet,1970,7.1,98
tt2707908,Sej Piya Ki,1985,-,-
tt3509698,Sati Sita Luv Kush,1981,-,-
tt0357879,Madadgaar,1987,5.4,11
tt0351354,Milan Ki Raat,1967,4.4,7
tt0213519,Bhool Bhulaiyan,1933,6.0,6
tt0246905,Saajan Chale Sasural,1996,6.0,"1,312"
-,Shaan,,-,-
tt0139306,Hamara Ghar,1950,-,-
tt1039989,Sunday,I 2008,5.3,"2,592"
-,The Destiny,,-,-
tt2761622,Spy in Goa,1966,-,-
tt8622232,Time to Dance,2021,1.3,406
tt0109922,Gopi Kishan,1994,5.5,805
tt0187351,Nigahen: Nagina Part II,1989,5.2,286
tt1245732,Red Alert: The War Within,2009,6.4,337
tt0273409,Adhikar,1938,-,-
tt0449814,Amnol Sahara,1952,-,-
tt0442625,Waqt Ka Shahenshah,1987,4.9,11
tt3666258,Coffee Bloom,2015,5.9,101
tt3681344,Duniya Ke Rangeen Raatein,1997,-,-
tt0246433,Apnapan,1977,6.5,73
tt2980794,Highway,I 2014,7.6,"26,801"
tt3521136,Har Raat Naya Khiladi,1990,-,-
tt0243125,Atma Tarang,1937,-,-
tt2613436,Paigham,1988,-,-
-,Akela,,-,-
tt4960730,Pyar Ka Jigar,2003,-,-
tt0262446,Gopichand Jasoos,1982,5.9,123
tt0995840,Joy: The Real Love Story,2007,2.1,"1,601"
tt0104098,Dharavi,1992,7.1,282
tt4007298,Khoobsurat Kali,2003,-,-
tt1217608,Yaar Meri Zindagi,2008,4.8,39
tt1663663,Parchhaeen,1989,-,-
tt0083063,Sharda,1981,5.5,19
tt3908750,Circus Queen,1959,-,-
tt4489064,"Haseena: Smart, Sexy, Dangerous",2006,-,-
tt1577050,Fired,I 2010,4.4,260
tt0225515,Dillagi,1999,5.3,"1,068"
tt0186871,Bhagwaan Dada,1986,4.3,167
tt2791100,Sampoorna Sant Darshanam,1978,-,-
tt1986813,Dharti ke God Mein,1971,-,-
tt11086844,Shaitaan: A Vision of Madness,2018,-,-
tt0259494,Payal Ki Jhankar,1968,4.4,12
tt0299078,Palkon Ki Chhaon Mein,1977,7.5,65
tt0384918,Dil Ka Sathi Dil,1982,6.7,18
tt0032951,Punar Milan,1940,-,-
tt0038475,Dharti Ke Lal,1950,6.4,16
tt1092005,Golmaal Returns,2008,5.1,"7,115"
tt7971756,Inspector Gullu,2018,6.8,32
tt5267296,Aaj Ka Inteqaam,1991,-,-
tt0091320,Kala Dhanda Goray Log,1986,5.7,35
tt10964430,Thappad,I 2020,6.8,"14,626"
tt0243513,Raakhi Ki Saugandh,1979,-,-
tt11292062,Adhiktam,2020,-,-
tt0347920,Saajan Ki Saheli,1981,5.5,44
tt0215898,Khaan Dost,1976,5.6,38
tt0370808,Jhankar,1942,-,-
tt0203289,American Desi,2001,6.6,"1,583"
-,Vivash,,-,-
tt0406556,Bachelor Husband,1950,-,-
tt4209790,Chalta Purza,1958,-,-
tt6588966,Hichki,2018,7.5,"10,905"
tt0363777,Lover Boy,1985,4.1,19
tt0962716,Babul,1986,4.8,9
tt0214941,Meera,1947,7.7,14
tt11102314,Tribhanga,2021,6.1,"2,406"
-,Phone Bhoot,2021,-,-
tt4417674,Aag aur Angaray,1990,-,-
tt4954470,Krishna Arjun,2004,-,-
tt0152133,Rahi,1953,6.9,27
tt1954666,Monopoly the Game of Money,2012,-,-
tt0311337,Inth Ka Jawab Patthar,2002,3.2,9
-,Paradise Street,,-,-
tt3848938,Mr. X,2015,3.8,"1,816"
tt0268520,Pakhandi,1984,6.5,26
tt3877652,Desi Kattey,2014,4.0,125
tt0374069,Murderer,1935,-,-
tt2929820,Pyase Nain,1989,-,-
tt2714450,Anokha Chamatkar,1988,-,-
tt0414156,Insaan Aur Shaitan,1970,5.1,14
tt2549618,August 2,2012,4.2,9
tt3411076,1:13:7 Ek Tera Saath,2016,5.7,57
tt3949344,Sair-E-Paristan,1958,-,-
tt4651494,Azad Champion,1968,-,-
tt0252636,Laxmi,1957,-,-
tt1569529,"U, Bomsi N Me",2005,7.4,13
tt10852008,Balakot: the true story,2020,-,-
tt0242519,Hera Pheri,2000,8.2,"58,037"
tt4219300,Gollu Aur Pappu,2014,3.7,101
tt14218668,Shivani,I 2019,-,-
tt1774473,Love You to Death,2012,5.3,7
tt1905076,Tum Hi To Ho...,2011,3.9,10
tt1334254,Maharathi,2008,7.1,967
tt0290258,Paandav,1995,4.1,533
tt0029518,Savitri,1937,-,-
tt4540998,Police Lock Up,1992,-,-
tt0158711,Kurbani,1943,6.6,5
tt0232291,Pati Patni Aur Tawaif,1990,4.3,40
tt9602804,The Last Color,2019,7.7,740
tt0229966,Aji Bas Shukriya,1958,6.2,10
tt0157526,Delhi Durbar,1956,-,-
tt0231261,Bhartruhari,1932,-,-
tt5310562,Teer,1954,-,-
tt2742176,Prem Paigham,1989,-,-
tt0117672,Smuggler,1996,4.4,17
tt11318718,Om Shri Satya Sai Baba,2021,-,-
tt4983400,Khooni Insaan,1988,4.0,7
tt2644942,Geet Ganga,1982,-,-
tt0155517,Bachke Rahna,1949,-,-
tt0832365,Stop!,2004,4.5,31
tt10111484,Vicar Ka Achar Open Your Mind Before Your Mouth,2018,-,-
tt5286444,Neerja,2016,7.7,"21,192"
tt2753314,Begunah,1970,-,-
tt0246706,Ishara,1943,-,-
tt0389191,Naag Mani,1957,6.5,6
tt2671410,Doctor X,1972,-,-
tt1620907,Na Ghar Ke Na Ghaat Ke,2010,6.1,269
tt2882184,Shaadi Aur Barbadi,1991,-,-
tt1883330,SHUDRA: The Untouchables,2011,7.8,23
tt0488316,Mazaa Mazaa,2005,2.8,57
tt3521142,Har Din Pyar Ke Din,1990,-,-
tt0115568,Army,1996,4.3,"1,591"
tt0427527,Mera Suhag,1987,-,-
