movie_id,name,release_date,release_year,imdb_id
1,Agneepath,2012-01-26,2012,tt1849718
2,Bittoo Boss,2012-04-13,2012,tt2347289
3,Housefull 2,2012-04-06,2012,tt1980986
4,Singham,2011-07-22,2011,tt1948150
5,Golmaal 3,2010-11-05,2010,
6,Kahaani,2012-03-09,2012,tt1821480
7,Ek Main Aur Ekk Tu,2012-02-10,2012,tt1703958
8,Players,2012-01-06,2012,tt1784589
9,Vicky Donor,2012-04-20,2012,tt2317337
10,Hate Story,2012-04-20,2012,tt2309987
11,Hum Aapke Hain Koun..!,1994-08-05,1994,tt0110076
13,Tere Naal Love Ho Gaya,2012-02-24,2012,tt2130242
14,Jodi Breakers,2012-02-24,2012,tt2191721
15,Paan Singh Tomar,2012-03-02,2012,tt1620933
16,Agent Vinod,2012-03-23,2012,tt1395025
17,London Paris New York,2012-03-02,2012,
18,Ekk Deewana Tha,2012-02-17,2012,tt2126282
19,Jannat 2,2012-05-04,2012,
20,Tezz,2012-04-27,2012,tt1706317
21,Blood Money,2012-03-30,2012,tt2246595
22,Chaar Din Ki Chandni,2012-03-09,2012,tt2191641
23,Ghost,2012-01-13,2012,tt2175671
24,Gali Gali Chor Hai,2012-02-03,2012,
25,Chaalis Chauraasi,2012-01-13,2012,tt2184125
26,Bodyguard,2011-08-31,2011,tt1729637
27,Ready,2011-06-03,2011,
28,Ra.One,2011-10-26,2011,tt1562871
29,Don 2,2011-12-23,2011,tt1285241
30,The Dirty Picture,2011-12-02,2011,tt1954206
31,Rockstar,2011-11-11,2011,tt1839596
32,Mere Brother Ki Dulhan,2011-09-09,2011,tt1740710
33,Zindagi Na Milegi Dobara,2011-07-15,2011,tt1562872
34,Delhi Belly,2011-07-01,2011,tt1934231
35,Yamla Pagla Deewana,2011-01-14,2011,tt1773109
36,Thank You,2011-04-08,2011,tt1720254
37,Double Dhamaal,2011-06-24,2011,tt1728239
38,Murder 2,2011-07-08,2011,tt1918965
39,Aarakshan,2011-08-12,2011,tt1848771
40,Desi Boyz,2011-11-25,2011,tt1985981
41,Patiala House,2011-02-11,2011,tt1535467
42,Rascals,2011-10-06,2011,tt1830786
43,Mausam,2011-09-23,2011,tt1627924
44,No One Killed Jessica,2011-01-07,2011,tt1734110
45,Dhobi Ghat,2011-01-21,2011,tt1433810
