movie_id,name,release_date,total_nett_gross,first_week,budget,india_gross,overseas_gross,worldwide_gross,all_time_rank,footfalls,adjusted_nett_gross,imdb_id
1,Agneepath,2012-01-26,1199825000,813700000.0,710000000.0,1639800000.0,6100000.0,1943275000.0,73.0,16899000.0,1625176830,tt1849718
2,Bittoo Boss,2012-04-13,20075000,19550000.0,100000000.0,27200000.0,,27200000.0,1808.0,264000.0,25388880,tt2347289
3,Housefull 2,2012-04-06,1117925000,617500000.0,720000000.0,1537600000.0,6760000.0,1884050000.0,78.0,15762000.0,1515831540,tt1980986
4,Singham,2011-07-22,983800000,492900000.0,410000000.0,1358300000.0,1230000.0,1413035000.0,76.0,15961000.0,1534969370,tt1948150
5,Golmaal 3,2010-11-05,1080600000,626100000.0,500000000.0,1491200000.0,4620000.0,1695635000.0,46.0,17712000.0,1703363040,tt1562859
6,Kahaani,2012-03-09,578125000,237900000.0,200000000.0,789600000.0,2550000.0,917100000.0,221.0,6924000.0,665881080,tt1821480
7,Ek Main Aur Ekk Tu,2012-02-10,401000000,306800000.0,320000000.0,543800000.0,3600000.0,721100000.0,437.0,4857000.0,467097690,tt1703958
8,Players,2012-01-06,299025000,215200000.0,550000000.0,405800000.0,1520000.0,485600000.0,1276.0,4102000.0,394489340,tt1784589
9,Vicky Donor,2012-04-20,410000000,141700000.0,100000000.0,550200000.0,1200000.0,613200000.0,249.0,4654000.0,447575180,tt2317337
10,Hate Story,2012-04-20,120175000,96000000.0,90000000.0,164300000.0,,164300000.0,478.0,1868000.0,179645560,tt2309987
11,Hum Aapke Hain Koun..!,1994-08-05,724650000,6800000.0,62500000.0,1169300000.0,3500000.0,1279550000.0,1.0,73962000.0,7112925540,tt0110076
13,Tere Naal Love Ho Gaya,2012-02-24,194500000,117800000.0,140000000.0,264400000.0,850000.0,306262500.0,556.0,2718000.0,261390060,tt2130242
14,Jodi Breakers,2012-02-24,96525000,81600000.0,210000000.0,131200000.0,310000.0,146467500.0,1078.0,1235000.0,118769950,tt2191721
15,Paan Singh Tomar,2012-03-02,146150000,65400000.0,70000000.0,196800000.0,100000.0,201800000.0,357.0,1828000.0,175798760,tt1620933
16,Agent Vinod,2012-03-23,439550000,360800000.0,600000000.0,596800000.0,2600000.0,730050000.0,668.0,6031000.0,580001270,tt1395025
17,London Paris New York,2012-03-02,63800000,55900000.0,105000000.0,86400000.0,510000.0,111517500.0,1151.0,779000.0,74916430,tt2064849
18,Ekk Deewana Tha,2012-02-17,56150000,52700000.0,140000000.0,76200000.0,190000.0,85557500.0,1168.0,685000.0,65876450,tt2126282
19,Jannat 2,2012-05-04,429800000,341200000.0,200000000.0,584800000.0,870000.0,630910000.0,312.0,6162000.0,592599540,tt2319889
20,Tezz,2012-04-27,159150000,145900000.0,520000000.0,216400000.0,850000.0,261237500.0,1311.0,2257000.0,217055690,tt1706317
