imdb_id,title,year_of_release
tt3817024,Dashavatar,1977
tt7688918,Dream Zindagi,2017
tt0158163,Roop Sundari,1964
tt6545212,Leera the Soulmate,2018
tt6629552,Return of Ranveer,2017
tt4649578,Sher Ka Beta,2002
tt12681658,Sanam tera ishaq,2018
tt0449922,Ek Daku Saher Mein,1985
tt0157036,Shri Ramanuja,1943
tt4354566,The Lost Salesman of Delhi,2014
tt0376681,Jadui Jhoola,1935
tt3547252,Pyar Ki Masti,1991
tt0359186,Dost Garibon Ka,1989
tt0155120,Roop Nagar,1947
tt0184688,Love in Canada,1979
tt2953592,Kaun Karega Insaaf,2002
tt3914306,Basanti Ki Shaadi Honeymoon Gabbar Ka,2002
tt3748404,Apne Paraye,1982
tt0213034,Kisise Na Kehna,1942
tt0230405,Katha Madhopur Ki,1989
tt0230497,Mallika Soloni,1953
tt7830890,Suraj Bhi Tamashai,1980
tt0375967,Mera Gaon,1942
tt3683588,Dekha Jayega,1960
tt0157966,Manavata,1972
tt0380553,Mitti,1947
tt0362302,Wamaq Azra,1935
tt8056936,Thunaivan,1969
tt4525938,Main Hoon Chalbaaz,2003
tt0390406,Qatil Kaun,1980
tt1319563,Dracula,1999
tt0418296,Vishnu Bhakti,1934
tt4966052,The Great Supremo,2002
tt9558604,Seelavathi,2018
tt4947956,Thokar,2004
tt9683802,Love Trainning,2018
tt0357736,Heer,1956
tt2094869,Krishna Bhakt Sudaama,1968
tt0796233,Shiv Parvati,1962
tt7243744,Ghanta Chori Ho gaya,2017
tt1918641,5ters: Castle of Dark Master,2011
tt0238897,Chhote Sarkar,1938
tt0392075,Gul Bahar,1954
tt1692075,Avant Garde Pythagoras Sharma,2011
tt0811613,Meridian Lines,2013
tt4540938,Patal Jwaala,1985
tt1357461,Muniya,2008
tt2739262,Siskiyan,1983
tt0232208,O Tera Kya Kahna,1959
tt0375883,Kala Pahad,1933
tt5313136,Peele Parbat Kaale Chor,1968
tt0158775,Meri Bahen,1944
tt0236166,Door Chalen,1946
tt11611172,Khardoo 2,2016
tt0273323,Mukti,1937
tt0214045,Rangila Raja,1936
tt11237638,Josef - Born in Grace,2019
tt2668938,Meri Ganga Ki Saugandh,2003
tt0361944,Nai Imarat,1981
tt0454229,Piya Milan,1985
tt0386287,Anokha Insaan,1986
tt3779014,Ek Jugnu,1982
tt11591854,M3 - Midsummer Midnight Mumbai,2014
tt5144696,Roshni,2015
tt0356770,Jumbish: A Movement - The Movie,1986
tt10137064,PICK POCKET,1989
tt0361376,Bhula Na Dena,1981
tt0316093,Kanya Dweep,1982
tt3659346,Sehme Huye Sitaare,1994
tt0247829,Yeh Hai Zindagi,1947
tt0157168,Wapas,1969
tt2742570,Pyar Do Pyar Lo,1995
tt4457524,Bhai Ho To Aisa,2003
tt12845296,The Hidden Strike,2020
tt10438260,Love by Chance,2019
tt3659358,Suki,1994
tt4319844,Maut Ki Dahshat,2004
tt0357693,Garibon Ka Daata,1989
tt8267940,All About Sec-377,2016
tt6536584,Vikram Betal,2004
tt11554586,Bedhadak,2006
tt3918886,Memsaab No.1,2002
tt0234702,Shabhash Daddy,1979
tt1062296,Jannat,1949
tt0158648,Hamari Betiyan,1936
tt5876392,Mission Tiger,2016
tt0369257,Baghdad,1960
tt0376977,Watan Ke Liye,1939
tt3544294,Alakh,1989
tt3848160,Range Haath,2001
tt0230684,Ramu Ustad,1971
tt8528674,I Know You,2020
tt6543110,Pataliputhra,2010
tt3099096,Irada,1971
tt10846072,Delhi Bus,2018
tt7518742,Ek Ke Upar Do,2018
tt3781506,Ek Dharti Sone Ki,1978
